store_id,name,slncatch,access,link,price,seats,review
slnH000703391,PASH,[丁寧カウンセリング×再現性]マンツーマン施術！再現性の高いカットやパーマ、ツヤ髪重視のカラーが得意！,"
							県庁から徒歩5分",https://beauty.hotpepper.jp/slnH000703391/?cstt=14,4950.0,11.0,53.0
slnH000295144,giraffe【ジラフ】,『口コミ評価4.86/300以上の実績☆』大人可愛い×小顔カット◎髪質改善カラー・トリートメントで垢抜け♪,"
							当日予約◎【県庁/金沢駅】スギ薬局県庁前店向かい 藤江北バス停1分 TEL:076-266-0053",https://beauty.hotpepper.jp/slnH000295144/?cstt=15,4500.0,4.0,325.0
slnH000569781,BE HERE NOW N゜02 金沢鞍月店【ビーヒアナウ】,《全席半個室プライベート空間》当日予約◎経験豊富なスタイリストが最後までマンツーマン対応［金沢鞍月］,"
							石川県庁近く/キャナリィ・ロウ隣/石川県地場産業振興センター道路を挟み向かい側",https://beauty.hotpepper.jp/slnH000569781/?cstt=16,1100.0,4.0,152.0
slnH000302240,Act espoir　【アクト エスポワール】,最新のヘアケアメニューを多数導入。リラックスできる非日常の空間で髪と心に栄養を…♪,"
							コメダ珈琲 金沢直江町店隣り",https://beauty.hotpepper.jp/slnH000302240/?cstt=17,4400.0,12.0,88.0
slnH000095043,Gran Blue 【グラン ブルー】,本日予約ok♪くせ毛に悩む人、一人一人に合わせた髪質改善とツヤ髪を叶えるヘアケアサロン,"
							アピタタウン金沢ベイＣ棟1F/買い物便利/駐車場有/お子様同伴OK|縮毛矯正も人気◎",https://beauty.hotpepper.jp/slnH000095043/?cstt=18,4400.0,16.0,54.0
slnH000650053,Lumi hair　県庁藤江店【ルミヘアー】,☆注目サロン☆”色落ち楽しむ髪質改善カラー”と”骨格補正カット”が◎カット+カラー+TR￥4900～,"
							藤江交差点すぐ横/石川県庁エリア/駐車場7台有[#インナーカラー#髪質改善]",https://beauty.hotpepper.jp/slnH000650053/?cstt=19,2900.0,5.0,897.0
slnH000356366,Amie by oasis 【アミーバイオアシス】,《内灘町》今話題の最高級TOKIOggiトリートメント導入♪早め予約が◎デザインカラー/髪質改善も好評★★★,"
							【内灘】内灘町役場向かい",https://beauty.hotpepper.jp/slnH000356366/?cstt=20,5000.0,3.0,9.0
slnH000381412,ラウァーレ★アクアステラ,本日NET予約◎時間外予約24時まで◎  完全マンツーマンプライベートSALON♪,"
							【内灘】内灘駅から徒歩15分！誠美幼稚園近く。",https://beauty.hotpepper.jp/slnH000381412/?cstt=21,3850.0,2.0,12.0
slnH000311770,atelier ma-R 【アトリエ　マール】,ー東京・恵比寿で20年ーアンティークカフェの様なおしゃれな店内、研ぎ澄まされた感性がアナタの髪を彩る。,"
							藤江北・さくらホームさん向い",https://beauty.hotpepper.jp/slnH000311770/?cstt=22,5500.0,4.0,3.0
slnH000385333,SEVEN LEAF CLOVER,【金沢医大前】【カット4400円～】家族に接するように、愛を持って施術☆髪のお悩み解決サロン♪,"
							金沢医科大学前",https://beauty.hotpepper.jp/slnH000385333/?cstt=23,4400.0,3.0,34.0
slnH000433803,リーズ,【理容×美容】平日19時以降も営業! / フェード・シェービングもできる / 女性も大歓迎!,"
							石川県立病院裏／県庁近く",https://beauty.hotpepper.jp/slnH000433803/?cstt=24,3000.0,4.0,19.0
slnH000687037,.CYEN【ドットサイン】,口コミ高評価◎【松村/県庁近く】示野イオン近くの住宅街に佇むプライベートサロンで上質なサロンタイム,"
							示野イオンから6分、石川テレビ向かい新区画住宅地テレビ電波塔の目の前の建物です",https://beauty.hotpepper.jp/slnH000687037/?cstt=25,5500.0,3.0,56.0
slnH000327185,3be plus 【スリービープラス】,大人女性の髪のお悩みおまかせください！ダメージレスなメニューが多彩です☆彡,"
							大阪屋ショップ近岡店 駐車場裏のコインランドリー横　",https://beauty.hotpepper.jp/slnH000327185/?cstt=26,4400.0,7.0,17.0
slnH000698966,ＲＯＵＴＥ　ＦＩＶＥ 【ルート ファイブ】,【美髪×癒し】大人気！頭浸浴メニュー導入◇落ち着くマンツーマンプライベートサロン,"
							マンボウから車で3分、浅野川線三口駅より徒歩7分",https://beauty.hotpepper.jp/slnH000698966/?cstt=27,4700.0,2.0,27.0
slnH000432228,soi hair  【ソアヘアー】,女性スタイリストのマンツーマン施術！落ち着いた隠れ家サロン♪癒しのヘッドスパが人気でリピーター多数◎,"
							金沢駅より車で12分",https://beauty.hotpepper.jp/slnH000432228/?cstt=28,4600.0,2.0,19.0
slnH000399802,An'Reciel,【髪のお悩み解決のプロがご提案☆】どこに行っても叶わなかった髪のお悩み、An'Recielにご相談ください。,"
							浅野川線大河端駅、北間駅から各徒歩2分",https://beauty.hotpepper.jp/slnH000399802/?cstt=29,5170.0,6.0,10.0
slnH000623379,racan praivate salon,【金石/県庁】口コミ高評価/２０代女性から人気のプライベートサロン/艶感のある透明感カラーが得意,"
							クルーズターミナルから車で5分　県庁から車で9分",https://beauty.hotpepper.jp/slnH000623379/?cstt=31,4500.0,4.0,68.0
slnH000462923,hair design MAHALO,男性から圧倒的支持☆お手頃価格の完全貸切プライベートサロン◎親子カット・キッズカットなど大人気♪,"
							内灘駅から車で7分/金沢医科大学病院から徒歩5分",https://beauty.hotpepper.jp/slnH000462923/?cstt=32,2800.0,1.0,9.0
slnH000403232,LIG BARBER SHOP,当日予約◎働く男のためのBARBER SHOP！［県庁エリアメンズ人気サロン］,"
							金沢駅の西口から車で10分",https://beauty.hotpepper.jp/slnH000403232/?cstt=33,3800.0,2.0,14.0
slnH000424163,DAHLIA　【ダリア】　金沢,【髪質改善salon】カラー＋電子トリートメントが大人気◎完全プライベート空間でゆっくりリラックス♪,"
							金沢駅から車で5分",https://beauty.hotpepper.jp/slnH000424163/?cstt=34,4000.0,2.0,26.0
slnH000289971,CIARTOR 【シアター】,"東京最先端のTOP SALONで培われた高いセンスと技術。その全てを体感できる,今金沢で話題のCreative Salon！","
							金沢駅から県道299を進み、国道８号線を越え400m進んだ左側。バス利用【三浦住宅前】",https://beauty.hotpepper.jp/slnH000289971/?cstt=35,5445.0,13.0,30.0
slnH000293631,ASYLUM【アサイラム】,【金沢コロナワールド近く】【火/木/金8:30～営業◎】悩み別に毛量をコントロールするカット技術が人気♪,"
							海側環状／無量寺・金沢アピタベイ近く",https://beauty.hotpepper.jp/slnH000293631/?cstt=36,4500.0,3.0,8.0
slnH000275641,in the life,髪に贅沢を～癒しのプライベートサロン♪美髪＆美頭皮＆髪質改善プログラムメニューあります♪,"
							バス停[県庁前]から徒歩5分",https://beauty.hotpepper.jp/slnH000275641/?cstt=37,5000.0,2.0,8.0
slnH000384783,Sunbath with 【サンバスウィズ】,本日NET予約◎完全マンツーマンのプライベートSALONで癒しと髪質改善が叶う♪ハホニコ・炭酸・野菜スパ＊,"
							金沢医科大学前、内灘町役場前交差点のローソンの並びにございます。",https://beauty.hotpepper.jp/slnH000384783/?cstt=38,4200.0,4.0,4.0
slnH000373154,cocoro hair 【ココロヘアー】,【女性専用サロン】気さくで明るい女性オーナーのこだわりあふれる隠れ家サロン♪【示野×１人サロン】,"
							示野イオンそば！",https://beauty.hotpepper.jp/slnH000373154/?cstt=39,4000.0,2.0,8.0
slnH000541089,Hair Direction Aura 【ヘアーディレクションアウラ】,髪のコンプレックスを個性に変えます★くせ毛・白髪染め・縮毛矯正・髪質改善のお悩みをご相談ください！,"
							【バス】畝田中から徒歩３分#くせ毛/縮毛矯正/前髪縮毛矯正/髪質改善/白髪染め/白髪",https://beauty.hotpepper.jp/slnH000541089/?cstt=41,4400.0,2.0,39.0
slnH000334823,美匠【ビショウ】,【男性リピート率90％超え】お得なカット＋ヘッドスパが大人気♪男性限定！初夏の特別なクーポンあり！,"
							【藤江北】雑貨屋Runeさんの近く",https://beauty.hotpepper.jp/slnH000334823/?cstt=42,2500.0,1.0,150.0
slnH000559754,hair salon nagomi,キッズスペースあり◎女性スタイリストのマンツーマンサロン＊ツヤカラーや1人1人に合わせたスパが人気＊,"
							石川県庁より車で10分・金沢西高校より徒歩5分",https://beauty.hotpepper.jp/slnH000559754/?cstt=43,4800.0,2.0,168.0
slnH000322830,An Hair&make 【アン　ヘアメイク】,女性オーナーの完全マンツーマン【縮毛矯正(S)4400円から(LL)7700円】早くて上手い激安サロン☆ ,"
							ナルックス桂町店すぐそば",https://beauty.hotpepper.jp/slnH000322830/?cstt=44,1100.0,2.0,31.0
slnH000375236,HAIR SALON TSUMiKi 【ヘアーサロンツミキ】,金沢【口コミ高評価】マンツーマンで髪の悩みを相談しやすい◎縮毛矯正やデザインカラーもお任せください◎,"
							【８号線】示野イオン近く。県庁からも車で５分です。",https://beauty.hotpepper.jp/slnH000375236/?cstt=46,4800.0,5.0,101.0
slnH000311762,HANABUSA　藤江店　【ハナブサ】,【エリアNO1☆高評価口コミ数】似合わせヘアでぴったりのスタイルに出会える♪ 朝楽カットでワンランクUP！,"
							金沢駅西口／最寄バス停(藤江北)徒歩１分",https://beauty.hotpepper.jp/slnH000311762/?cstt=47,4730.0,12.0,392.0
slnH000566861,平田理髪店【ヒラタリハツテン】,【HOT PEPPER Beauty AWARD 2025 BEST SALON 】注目サロン選出◎,"
							大河端駅から徒歩約12分",https://beauty.hotpepper.jp/slnH000566861/?cstt=48,4500.0,2.0,32.0
slnH000342932,hair resort gamelan【ヘアリゾート ガムラン】,【お得な20～30分のスパ付クーポン★首・肩こりの解消も】３０代からの大人の癒されSALONで髪質改善＊,"
							畝田東・市立工業高校正門側近く",https://beauty.hotpepper.jp/slnH000342932/?cstt=49,4950.0,2.0,35.0
slnH000409691,ELMO,口コミ平均評価★4.8【6年連続 2025年HOT PEPPER AWARD 注目サロン選出されました!!】＊TEL 076-256-1656,"
							金沢駅より金石行き方面　バス停　観音堂より徒歩３分",https://beauty.hotpepper.jp/slnH000409691/?cstt=50,4950.0,2.0,44.0
slnH000234405,Fit hair design,【県庁近く】講習なども行うカットのプロが作るショートスタイルが好評！頭皮の整体スパ、頭身浴も人気,"
							県庁ちかく／金沢西高校そば",https://beauty.hotpepper.jp/slnH000234405/?cstt=51,4940.0,4.0,7.0
slnH000627244,Haar salon【ハール　サロン】,【本日空き有】丁寧×高技術×通いやすい価格◎ シェービングだけのご利用OK◎【藤江】,"
							北鉄バス【藤江】から徒歩1分",https://beauty.hotpepper.jp/slnH000627244/?cstt=52,2200.0,2.0,44.0
slnH000188318,Aruku【アルク】,【女性スタッフ多数在籍の少人数プライベートサロン】平日限定特典多数！カット+選べるクイックスパが人気,"
							県庁近く、藤江北ゴールドカレー向かい",https://beauty.hotpepper.jp/slnH000188318/?cstt=53,4950.0,6.0,8.0
slnH000674383,kuuma hair salon,女性スタイリストのマンツーマン施術♪リーズナブルな価格で通える隠れ家サロン♪,"
							【金石】北鉄バス　相生町　バス停から徒歩5分　金石小学校裏　",https://beauty.hotpepper.jp/slnH000674383/?cstt=54,3150.0,1.0,20.0
slnH000318373,hair siesta HALU 【ヘアシエスタ ハル】,【県庁周辺】今年で10周年☆お子様からご年配の方まで幅広い年代・ビジネスマンに爆発人気の理容室！！,"
							松村５丁目・大徳自動車学校近く",https://beauty.hotpepper.jp/slnH000318373/?cstt=55,3300.0,4.0,40.0
slnH000501818,Chrono hair【クロノヘアー】,【メンズリピート率90越え】当日予約OK◎プロのカウンセリングを徹底追求しているメンズ特化サロンです◎,"
							示野イオン近く8号線沿い、高倉町珈琲さんと牛角さんの間です[Men's/メンズパーマ]",https://beauty.hotpepper.jp/slnH000501818/?cstt=56,4400.0,2.0,4.0
slnH000479886,hair design moon,[駅西]当日予約◎マンツーマンサロンなのでお子様連れも大歓迎！０歳児からのカットOK！,"
							石川県金沢市駅西新町３丁目７番２５号",https://beauty.hotpepper.jp/slnH000479886/?cstt=57,4400.0,2.0,5.0
slnH000533046,美calm【びーかるむ】,【可愛くなろう大作戦】頑固なくせ毛/うねりとおさらば！！本気で髪質改善したい方は美calmへ♪,"
							アルビス 内灘店から徒歩５分",https://beauty.hotpepper.jp/slnH000533046/?cstt=58,4500.0,2.0,55.0
slnH000514062,siica【シイカ】,【毛先までうるツヤ髪】髪質改善メニューでお客様の髪質に合わせたご提案◎,"
							北陸鉄道浅野川線「割出駅」 徒歩6分",https://beauty.hotpepper.jp/slnH000514062/?cstt=59,6600.0,2.0,35.0
slnH000429303,Salon de togo 【 サロン ド トーゴ 】,【カットが上手い＝仕上げが簡単◎】東京表参道出身美容師が手掛けるサロン《あなたのなりたいを叶えます》,"
							示野イオン金沢から車で3分・石川県庁から車で3分・村上内科さんの向い。",https://beauty.hotpepper.jp/slnH000429303/?cstt=60,5500.0,6.0,293.0
slnH000590663,Relief,【内灘駅徒歩1分】女性スタイリストが仕上げまで担当/顔まわりに合わせカット/白髪染め、白髪ぼかしが人気,"
							内灘駅から徒歩1分",https://beauty.hotpepper.jp/slnH000590663/?cstt=61,4950.0,2.0,6.0
slnH000189455,hair make apt mocalabel　【ヘアメイク アプト モカレーベル】,ナチュラル、再現性の高いカットが得意。,"
							北鉄バス松村バス停から徒歩10分",https://beauty.hotpepper.jp/slnH000189455/?cstt=62,4950.0,8.0,28.0
slnH000574956,バリの楽園～BEAUTY×RELAX～,【10:00～23:30営業】【貸切】【マンツーマン】【理容美容ダブルライセンス店】,"
							金沢駅から車で10分、海みらい図書館近く　月曜日も営業【理容美容ダブルライセンス】",https://beauty.hotpepper.jp/slnH000574956/?cstt=63,4750.0,1.0,8.0
slnH000109705,ｈｏｌｍ　ｈａｉｒ,”新メニュー”『頭浸浴』とにかく癒されたい方にオススメ！ALL MENU + 1000円,"
							JR金沢駅より車で10分",https://beauty.hotpepper.jp/slnH000109705/?cstt=64,4800.0,5.0,15.0
slnH000352194,LeChe【レチェ】,【口コミで高評価！】女性スタイリストのみの、大人女性のためのお悩み解決サロン♪,"
							-石川県金沢市木曳野2-158",https://beauty.hotpepper.jp/slnH000352194/?cstt=65,5500.0,7.0,16.0
slnH000543752,カラー＆ヘッドスパ　ナナイロ,白髪染め・ヘッドスパに特化した半個室のプライベートサロン☆マンツーマン施術で理想以上のスタイルへ♪,"
							内灘駅から1.4km （ 北間駅から1.4km 粟ケ崎駅から1.4km ）",https://beauty.hotpepper.jp/slnH000543752/?cstt=66,4000.0,2.0,25.0
slnH000118509,ｈａｉｒ　ｍａｋｅ　器,料理が、器によってその趣を変えるように、私たちはお客様のきれいを引き立てる器でありたい―。,"
							カリモク家具さんショールーム隣",https://beauty.hotpepper.jp/slnH000118509/?cstt=70,4600.0,3.0,17.0
slnH000464350,hair salon Arai【ヘアーサロン　アライ】,☆1回で速攻美肌☆レディースシェービング￥2800/40分！細胞美容:陶肌トリートメントも◎,"
							西警察署前から徒歩10分",https://beauty.hotpepper.jp/slnH000464350/?cstt=71,3400.0,4.0,3.0
slnH000560256,cerca【セルカ】,【cerca】の言葉の意味は『身近に、そばに』。お客様との距離感を大切に、寄り添いながら施術いたします。,"
							内灘駅徒歩15分/内灘海岸・コンフォモール徒歩3分",https://beauty.hotpepper.jp/slnH000560256/?cstt=72,5500.0,2.0,14.0
slnH000689426,knus【クヌース】,女性オーナーが手掛けるプライベートサロン＊髪の質感やクオリティにこだわる人が集まる居心地の良い空間。,"
							金沢駅から車で１０分",https://beauty.hotpepper.jp/slnH000689426/?cstt=73,4000.0,2.0,9.0
slnH000064764,KUN's hair,くつろぎの「一人サロン」,"
							海側環状線100満ボルトさん近く、　金沢駅から車15分",https://beauty.hotpepper.jp/slnH000064764/?cstt=74,4600.0,3.0,17.0
slnH000667842,PULSE【パルス】,オトナ女性に捧げる、上質でくつろげるプライベートサロン。,"
							北陸鉄道浅川線栗崎から徒歩5分以内",https://beauty.hotpepper.jp/slnH000667842/?cstt=75,5500.0,2.0,6.0
slnH000647826,hair pleasure,【内灘/医科大前】気取らず、ゆっくりとお寛ぎいただけるお洒落すぎる美容室が苦手な方の為のサロンです☆,"
							【内灘町/内灘】北陸鉄道浅野川線 内灘駅から北鉄バス　金沢医科大学病院　徒歩５分",https://beauty.hotpepper.jp/slnH000647826/?cstt=76,4500.0,4.0,13.0
slnH000480466,hair design cozy,【内灘町】居心地よい空間で、お洒落も癒しも叶う…マンツーマン施術のプライベートサロン,"
							北陸鉄道浅野川線 内灘駅",https://beauty.hotpepper.jp/slnH000480466/?cstt=77,4400.0,2.0,4.0
slnH000038314,hair root.,髪質に悩む大人女性から大人気！女性スタッフのみのプライベートサロンです♪スタッフ募集中！,"
							県庁から車で３分。海側環状線沿い「畝田西３丁目」交差点そば",https://beauty.hotpepper.jp/slnH000038314/?cstt=78,4000.0,4.0,4.0
slnH000545502,ENA【エナ】,穏やかな時間の流れるステキ隠れ家サロン,"
							北鉄バス「金石」より徒歩5分",https://beauty.hotpepper.jp/slnH000545502/?cstt=80,4400.0,2.0,5.0
slnH000093783,HAIR cache cache,《県庁近く》丁寧なカウンセリングであなたのなりたいを叶えるヘアケア特化サロン＊女性スタッフ多数在籍＊,"
							金沢駅から車で10分",https://beauty.hotpepper.jp/slnH000093783/?cstt=81,5500.0,5.0,1.0
